from,starting label,QID,label,depth,target
Q847,tennis,Q877517,ball game,1,1
Q847,tennis,Q2426135,racket sport,1,1
Q847,tennis,Q56054951,men's tennis,1,1
Q847,tennis,Q31629,type of sport,1,1
Q847,tennis,Q47094420,Foam Tennis,1,1
Q847,tennis,Q1153025,wheelchair tennis,1,1
Q847,tennis,Q754796,miniature golf,2,0
Q847,tennis,Q212845,Basque pelota,2,1
Q847,tennis,Q855880,football tennis,2,1
Q3407658,tram,Q1562213,freight tram,1,1
Q3407658,tram,Q5063597,low-floor tram,1,1
Q3407658,tram,Q15825863,light rail vehicle,1,1
Q3407658,tram,Q208502,railroad car,1,1
Q3407658,tram,Q752870,motor vehicle,1,1
Q3407658,tram,Q1414135,rolling stock,1,1
Q364,GitHub,Q1668024,service on internet,1,1
Q364,GitHub,Q3077240,forge,1,1
Q364,GitHub,Q6881511,enterprise,1,1
Q364,GitHub,Q5227240,data library,1,1
Q364,GitHub,Q2910253,Torah database,2,1
Q312,Apple Inc.,Q6881511,enterprise,1,1
Q312,Apple Inc.,Q167037,corporation,1,1
Q312,Apple Inc.,Q4830453,business,1,1
Q312,Apple Inc.,Q431289,brand,1,1
Q312,Apple Inc.,Q891723,public company,1,1
Q312,Apple Inc.,Q18388277,technology company,1,1
Q312,Apple Inc.,Q1058914,software company,2,1
Q312,Apple Inc.,Q13637823,Independent hardware vendor,2,1
Q12725,electricity,Q55605484,bioelectricity,1,1
Q12725,electricity,Q11379,energy,1,1
Q12725,electricity,Q1293220,physical phenomenon,1,1
Q12725,electricity,Q1522115,energy source,1,1
Q12725,electricity,Q18030772,prise électrique,1,0
Q12725,electricity,Q351281,sound energy,2,0
Q12725,electricity,Q11271324,energy transformation,2,1
Q12725,electricity,Q42213,work,2,0
Q12725,electricity,Q20058155,solar island,2,0
Q12725,electricity,Q396045,agricultural energy,2,0
Q12725,electricity,Q40189366,interstellar radiation field,2,0
Q12725,electricity,Q360356,Hamiltonian function,2,0
Q42490,Asterix,Q14406742,comic book series,1,1
Q918,Twitter,Q620615,mobile app,1,1
Q918,Twitter,Q92438,microblogging,1,1
Q918,Twitter,Q3220391,social networking service,1,1
Q918,Twitter,Q7858627,Twitter usage,2,1
Q918,Twitter,Q6839279,microblogging in China,2,0
Q918,Twitter,Q7901759,use of Twitter by public figures,3,1
Q918,Twitter,Q17710982,Twitterature,3,1
Q121416,discrete mathematics,Q1936384,area of mathematics,1,1
Q121416,discrete mathematics,Q92552,Galois theory,2,1
Q121416,discrete mathematics,Q621550,general topology,2,1
Q121416,discrete mathematics,Q3968,algebra,2,1
Q121416,discrete mathematics,Q21028313,global analysis,2,1
Q121416,discrete mathematics,Q3532114,combinatorial topology,2,1
Q121416,discrete mathematics,Q56313053,Additive combinatorics,2,1
Q121416,discrete mathematics,Q1208658,ring theory,2,1
Q121416,discrete mathematics,Q76592,combinatorics,2,1
Q121416,discrete mathematics,Q212803,algebraic topology,2,1
Q121416,discrete mathematics,Q177409,projective geometry,2,1
Q121416,discrete mathematics,Q7825032,topological dynamics,2,1
Q121416,discrete mathematics,Q2746792,noncommutative geometry,2,1
Q121416,discrete mathematics,Q1317202,Hodge theory,2,1
Q121416,discrete mathematics,Q61793851,noncommutative algebra,2,1
Q121416,discrete mathematics,Q190549,functional analysis,2,1
Q180204,shampoo,Q4838457,baby shampoo,1,1
Q180204,shampoo,Q599755,Garnier,1,1
Q180204,shampoo,Q11322916,dry shampoo,1,1
Q180204,shampoo,Q791930,Axe,1,1
Q180204,shampoo,Q50430027,hair care products,1,1
Q180204,shampoo,Q11108449,hair dye,2,1
Q381,Ubuntu,Q5276054,digital commons,1,1
Q381,Ubuntu,Q72688,Xubuntu,1,1
Q381,Ubuntu,Q20983788,free operating system,1,1
Q381,Ubuntu,Q131669,Linux distribution,1,1
Q381,Ubuntu,Q11250,Kubuntu,1,1
Q381,Ubuntu,Q12226408,Ubuntu Kylin,1,1
Q381,Ubuntu,Q27964209,Ubuntu Budgie,1,1
Q381,Ubuntu,Q18915790,Ubuntu MATE,1,1
Q381,Ubuntu,Q620615,mobile app,1,0
Q381,Ubuntu,Q9135,operating system,1,1
Q3517281,Telecom Nancy,Q4671277,academic institution,1,1
Q1199743,gradient descent,Q2835765,optimization algorithm,1,1
Q1199743,gradient descent,Q29410287,Adam optimizer,1,1
Q1199743,gradient descent,Q2321565,iterative numerical method,1,1
Q1199743,gradient descent,Q7617819,stochastic gradient descent,1,1
Q1199743,gradient descent,Q56506809,implicit method,2,0
Q1199743,gradient descent,Q1476018,Quasi-Newton method,2,0
Q1199743,gradient descent,Q14489129,evolutionary algorithm,2,0
Q1199743,gradient descent,Q4380101,projection methods for solving system of linear equations,2,0
Q1199743,gradient descent,Q1790321,Krylov subspace methods,2,0
Q2551422,Water damage,Q481609,damage,1,1
Q2551422,Water damage,Q1132455,hazard,1,1
Q2551422,Water damage,Q152749,radiation damage,2,0
Q2551422,Water damage,Q19914521,ground damage,2,0
Q2551422,Water damage,Q3433179,natural risk,2,1
Q1139866,Dofus,Q7889,video game,1,1
Q1139866,Dofus,Q55588631,Pokémon video game,2,0
Q1139866,Dofus,Q54767,puzzle video game,2,0
Q1139866,Dofus,Q16021388,alien video game,2,0
Q1139866,Dofus,Q4485157,PC game,2,1
Q1139866,Dofus,Q89691527,Xbox Original,2,0
Q1139866,Dofus,Q65073088,Nintendo Gateway System,2,0
Q1139866,Dofus,Q67016067,card battle video game,2,0
Q1139866,Dofus,Q6895044,multiplayer video game,2,1
Q1139866,Dofus,Q7927920,video games in education,2,0
Q1139866,Dofus,Q28004621,SMS TV game,2,0
Q1139866,Dofus,Q116634,online game,2,1
Q1139866,Dofus,Q958821,LucasArts adventure games,2,0
Q1139866,Dofus,Q101900049,supernatural video game,2,0
Q1139866,Dofus,Q14411698,romance game,2,0
Q1139866,Dofus,Q78444225,Star Trek video game,2,0
Q159144,Europa-Park,Q194195,amusement park,1,1
Q159144,Europa-Park,Q875157,resort,1,1
Q159144,Europa-Park,Q570116,tourist attraction,1,1
Q848609,Dagobah,Q108059870,Star Wars planet,1,1
Q129337,TGV,Q13402959,high-speed train,1,1
Q129337,TGV,Q16858238,train category,1,1
Q129337,TGV,Q91908084,passenger train service,1,1
Q129337,TGV,Q167270,trademark,1,1
Q129337,TGV,Q483373,electric multiple unit,1,1
Q129337,TGV,Q811704,rolling stock class,1,1
Q129337,TGV,Q30754613,TGV inOui,1,1
Q129337,TGV,Q1049958,SNCF TGV POS,2,1
Q129337,TGV,Q432478,Automotrice à grande vitesse,2,1
Q129337,TGV,Q928468,TGV Réseau,2,1
Q129337,TGV,Q60442637,rapid transit train service,2,1
Q129337,TGV,Q2205965,list of Belgian railway services,2,0
Q129337,TGV,Q15079663,rapid transit railway line,3,1
Q2746070,Canelé,Q477248,pastry,1,1
Q2746070,Canelé,Q3778467,gubana,2,1
Q2746070,Canelé,Q273426,éclair,2,1
Q2746070,Canelé,Q251981,crisp bread,2,0
Q2746070,Canelé,Q871619,bear claw,2,1
Q2746070,Canelé,Q28416788,Lotus seed paste cake,2,1
Q2746070,Canelé,Q856330,cracker,2,0
Q2746070,Canelé,Q105675701,,2,0
Q2746070,Canelé,Q5183361,Cream horn,2,1
Q2746070,Canelé,Q13266,cookie,2,1
Q2746070,Canelé,Q870362,rice bread,2,0
Q2746070,Canelé,Q1660010,Christmas cookies,2,1
Q2746070,Canelé,Q1073041,coconut bar,2,1
Q2746070,Canelé,Q12192991,meskouta,2,1
Q2746070,Canelé,Q208729,nougat,2,0
Q2746070,Canelé,Q3535552,Tourteau fromagé,2,0
Q2746070,Canelé,Q1014883,Burger Brezel,2,0
Q508256,Bastille,Q11670533,elevated station,1,1
Q508256,Bastille,Q928830,metro station,1,1
Q508256,Bastille,Q22808403,station located underground,1,1
Q2813,Coca-Cola,Q431289,brand,1,1
Q2813,Coca-Cola,Q147538,soft drink,1,1
Q2813,Coca-Cola,Q41084,New Coke,1,1
Q2813,Coca-Cola,Q134041,cola,1,1
Q2813,Coca-Cola,Q1104949,Coca Colla,2,1
Q2813,Coca-Cola,Q5759783,Highway,2,1
Q2813,Coca-Cola,Q19799634,model of calculator,2,0
Q2813,Coca-Cola,Q20888692,camera brand,2,0
Q2813,Coca-Cola,Q12311058,Fanta Free Orange,2,1
Q2813,Coca-Cola,Q264554,carbonated water,2,1
Q2813,Coca-Cola,Q2300409,Premium-Cola,2,1
Q2813,Coca-Cola,Q97322777,Oasis,2,1
Q2813,Coca-Cola,Q5873161,refreshing drink,2,1
Q2813,Coca-Cola,Q98579904,tractor brand,2,0
Q2813,Coca-Cola,Q623561,Dr Pepper,2,1
Q2813,Coca-Cola,Q937783,Coca-Cola Zero,2,1
Q2813,Coca-Cola,Q50425277,diet cola,2,1
Q2813,Coca-Cola,Q59185742,Craft soda,2,1
Q2813,Coca-Cola,Q896,Mountain Dew,2,1
Q2813,Coca-Cola,Q1815345,Diet Coke,3,1
Q2813,Coca-Cola,Q28127283,Coca-Cola Zero Sugar,3,1
Q718,chess,Q1188693,mind sport,1,1
Q718,chess,Q5093314,Chess aesthetics,1,1
Q718,chess,Q131436,board game,1,1
Q718,chess,Q7858742,two-player game,1,1
Q718,chess,Q4438147,game-based sport,1,1
Q718,chess,Q573573,abstract strategy game,1,1
Q718,chess,Q287618,sequential game,1,1
Q718,chess,Q299191,chess variant,1,1
Q718,chess,Q2755547,individual sport,1,1
Q718,chess,Q41595400,mind game,1,1
Q718,chess,Q31629,type of sport,1,1
Q718,chess,Q80131,poker,2,0
Q718,chess,Q816261,jogging,2,0
Q718,chess,Q229398,three-dimensional chess,2,1
Q718,chess,Q933844,three-player chess,2,1
Q335827,Directorate-General for External Security,Q47913,intelligence agency,1,1
Q8539,The Big Bang Theory,Q5398426,television series,1,1
Q324254,ontology,Q1172480,data model,1,1
Q324254,ontology,Q56316745,application ontology,1,1
Q324254,ontology,Q593744,knowledge base,1,1
Q324254,ontology,Q7554009,soft ontology,1,1
Q324254,ontology,Q1437388,formal ontology,1,1
Q324254,ontology,Q1397073,data schema,1,1
Q324254,ontology,Q62210692,OWL ontology,1,1
Q324254,ontology,Q56316737,domain ontology,1,1
Q324254,ontology,Q7449052,semantic data model,2,1
Q324254,ontology,Q5378800,Enhanced entity–relationship model,2,1
Q324254,ontology,Q2262868,domain model,2,1
Q324254,ontology,Q1751819,RDF Schema,2,1
Q40898,Nancy,Q484170,commune of France,1,1
Q40898,Nancy,Q1549591,big city,1,1
Q80131,poker,Q953223,stud poker,1,1
Q80131,poker,Q13586511,Dealer's choice,1,1
Q80131,poker,Q1050367,online poker,1,1
Q80131,poker,Q1188693,mind sport,1,1
Q80131,poker,Q2072000,Three card poker,1,1
Q80131,poker,Q497397,video poker,1,1
Q80131,poker,Q142714,card game,1,1
Q80131,poker,Q1073718,Chinese poker,1,1
Q80131,poker,Q718,chess,2,0
Q1474517,French National Institute of Health and Medical Research,Q13582798,Public Scientific and Technical Research Establishment,1,1
Q1474517,French National Institute of Health and Medical Research,Q31855,research institute,1,1
Q4173330,University of Lorraine,Q1542938,grand établissement,1,1
Q4173330,University of Lorraine,Q3551775,university in France,1,1
Q243,Eiffel Tower,Q1440476,lattice tower,1,1
Q243,Eiffel Tower,Q570116,tourist attraction,1,1
Q243,Eiffel Tower,Q1440300,observation tower,1,1
Q243,Eiffel Tower,Q107096063,Landmark tower,2,1
Q243,Eiffel Tower,Q804399,Blaw-Knox tower,2,0
Q1060165,Riot Games,Q210167,video game developer,1,1
Q11020,pool,Q2312410,sports discipline,1,1
Q11020,pool,Q3341285,cue sports,1,1
Q11020,pool,Q2060479,eight-ball,1,1
Q11020,pool,Q5179579,Cowboy pool,1,1
Q11020,pool,Q10526896,Hugg,2,0
Q11020,pool,Q94619648,women's team pursuit,2,0
Q11020,pool,Q917562,carom billiards,2,1
Q11020,pool,Q40679812,running target shooting,2,0
Q11020,pool,Q96679888,sport discipline at a sport event,2,0
Q11020,pool,Q2072840,CrossFit,2,0
Q11020,pool,Q27907674,girls' singles,2,0
Q11020,pool,Q5100758,Chinese eight-ball,2,1
Q11020,pool,Q4208733,Kaisa,2,1
Q11020,pool,Q52177345,field sport,2,0
Q11020,pool,Q11015,snooker,2,1
Q11020,pool,Q27907692,girls' doubles,2,0
Q11020,pool,Q455347,variation of basketball,2,0
Q11020,pool,Q94620117,men's team pursuit,2,0
Q11020,pool,Q5580558,golf billiards,2,1
Q11020,pool,Q677423,drifting,2,0
Q11020,pool,Q5728609,spanish pool,2,1
Q11020,pool,Q50386068,youth mixed doubles,2,0
Q11020,pool,Q27907702,boys' singles,2,0
Q11020,pool,Q3062992,F3f,2,0
Q11020,pool,Q967318,Blackball,2,1
Q11020,pool,Q27907716,boys' doubles,2,0
Q11020,pool,Q1324916,English billiards,2,1
Q11020,pool,Q94535288,1500m femmes en patinage de vitesse,2,0
Q11020,pool,Q2165733,Snooker plus,3,1
Q11020,pool,Q512270,Five-pin billiards,3,1
Q52,Wikipedia,Q1293664,open content,1,1
Q52,Wikipedia,Q14827288,Wikimedia project,1,1
Q52,Wikipedia,Q615699,Internet encyclopedia,1,1
Q52,Wikipedia,Q15633582,MediaWiki website,1,1
Q52,Wikipedia,Q107307154,virtual place,1,1
Q52,Wikipedia,Q81311730,Miraheze website,2,0
Q52,Wikipedia,Q95948776,Le Dico des Ados,2,0
Q52,Wikipedia,Q11853682,open encyclopedia,2,1
Q52,Wikipedia,Q33120867,Wikimedia wiki,2,1
Q52,Wikipedia,Q33120876,Wikimedia content project,2,1
Q52,Wikipedia,Q263,Wikisource,2,1
Q180,Wikimedia Foundation,Q2166013,wiki hosting service,1,1
Q180,Wikimedia Foundation,Q708676,charitable organization,1,1
Q180,Wikimedia Foundation,Q157031,foundation,1,1
Q1152227,pharmacogenomics,Q28598684,branch of biology,1,1
Q1152227,pharmacogenomics,Q222046,genomics,1,1
Q1152227,pharmacogenomics,Q99397804,branch of zoology,2,0
Q1152227,pharmacogenomics,Q841450,toxicogenomics,2,1
Q1152227,pharmacogenomics,Q1147112,comparative genomics,2,1
Q1152227,pharmacogenomics,Q3381973,phylogenomics,2,0
Q1152227,pharmacogenomics,Q104193250,branch of ecology,2,0
Q1152227,pharmacogenomics,Q17002728,branch of botany,2,0
Q1152227,pharmacogenomics,Q62722214,branch of genetics,2,1
Q1152227,pharmacogenomics,Q2091816,computational genomics,2,1
Q1152227,pharmacogenomics,Q7322390,ribonomics,2,1
Q1152227,pharmacogenomics,Q1068690,functional genomics,2,1
Q1152227,pharmacogenomics,Q7170583,personal genomics,2,1
Q1152227,pharmacogenomics,Q903778,metagenomics,2,1
Q1152227,pharmacogenomics,Q104415895,branch of paleontology,2,0
Q1152227,pharmacogenomics,Q25303637,neurogenomics,3,1
Q462,Star Wars,Q431289,brand,1,1
Q462,Star Wars,Q19786787,Archduke of Geonosis,1,1
Q462,Star Wars,Q196600,media franchise,1,1
Q33959,Nice,Q484170,commune of France,1,1
Q33959,Nice,Q1549591,big city,1,1
Q231136,Encarta,Q13419255,hypertext encyclopedia,1,1
Q231136,Encarta,Q7397,software,1,1
Q9340,Google Drive,Q1668024,service on internet,1,1
Q9340,Google Drive,Q35127,website,1,1
Q9340,Google Drive,Q1343205,file hosting service,1,1
Q9340,Google Drive,Q914359,cloud storage,1,1
Q9340,Google Drive,Q166142,application,1,1
Q9340,Google Drive,Q16972647,Google Chrome App,2,1
Q9340,Google Drive,Q847906,online magazine,2,0
Q9340,Google Drive,Q3751111,medical software,2,0
Q9340,Google Drive,Q17074646,personal cloud,2,1
Q9340,Google Drive,Q101191533,online catalog,2,0
Q9340,Google Drive,Q25325314,Elastic cloud storage,2,1
Q9340,Google Drive,Q16988367,CloudLocker,3,1
Q1484375,PyCharm,Q467707,software development kit,1,1
Q1484375,PyCharm,Q13741,integrated development environment,1,1
Q1484375,PyCharm,Q341,free software,1,1
Q1484375,PyCharm,Q10334075,Mxmlc,2,0
Q159992,surfing,Q61065,water sport,1,1
Q159992,surfing,Q842595,big wave surfing,1,1
Q159992,surfing,Q1434370,River surfing,1,1
Q159992,surfing,Q31629,type of sport,1,1
Q159992,surfing,Q911069,boardsport,1,1
Q159992,surfing,Q14085739,sailing,2,1
Q159992,surfing,Q2533407,surf lifesaving,2,0
Q159992,surfing,Q60967807,Aquaplaning sport,2,1
Q159992,surfing,Q31920,swimming,2,1
Q159992,surfing,Q2369170,underwater sports,2,1
Q159992,surfing,Q178131,snowboarding,2,0
Q159992,surfing,Q7735,diving,2,1
Q159992,surfing,Q159354,rowing,2,1
Q159992,surfing,Q842284,skateboarding,2,0
Q22907849,Discord,Q40056,computer program,1,1
Q22907849,Discord,Q28051323,video-conferencing software,1,1
Q22907849,Discord,Q15614021,VoIP software,1,1
Q22907849,Discord,Q1668024,service on internet,1,1
Q22907849,Discord,Q2462003,instant messaging client,1,1
Q22907849,Discord,Q35127,website,1,1
Q22907849,Discord,Q620615,mobile app,1,1
Q22907849,Discord,Q218616,proprietary software,1,1
Q22907849,Discord,Q287198,online chat,1,1
Q22907849,Discord,Q3220391,social networking service,1,1
Q22907849,Discord,Q84368158,health app,2,0
Q22907849,Discord,Q466,World Wide Web,2,0
Q22907849,Discord,Q15548100,free instant messaging client,2,1
Q22907849,Discord,Q3391957,online community platform,2,1
Q22907849,Discord,Q109946538,Rocket League Sideswipe,2,0
Q22907849,Discord,Q1954906,music disk,2,0
Q22907849,Discord,Q63241860,streaming service,2,1
Q22907849,Discord,Q105103015,demo program,2,0
Q22907849,Discord,Q16825545,adult dating site,2,0
Q22907849,Discord,Q60678830,Smartphone apps for travellers,2,0
Q22907849,Discord,Q81945,Voice over IP,2,1
Q22907849,Discord,Q1149226,web chat,2,1
Q22907849,Discord,Q354869,image sharing,2,1
Q22907849,Discord,Q574577,chat room,2,1
Q22907849,Discord,Q106471136,Wikimedia app,2,0
Q22907849,Discord,Q17589204,FootballDatabase.eu,2,0
Q900647,Côte d'Opale,Q1466699,partie de littoral,1,1
Q12014035,hiking,Q2357239,sports tourism,1,1
Q12014035,hiking,Q1914636,activity,1,1
Q12014035,hiking,Q968907,outdoor recreation,1,1
Q12014035,hiking,Q184872,recreation,1,1
Q12014035,hiking,Q349,sport,1,1
Q12014035,hiking,Q6537379,walking,1,1
Q12014035,hiking,Q61788060,human activity,1,1
Q12014035,hiking,Q747883,physical activity,2,1
Q131476,graph theory,Q18205998,circuit topology,1,1
Q131476,graph theory,Q4671286,academic major,1,1
Q131476,graph theory,Q4115842,topological graph theory,1,1
