QID,label,from,starting label,target,depth
Q28051323,video-conferencing software,Q28406404,Microsoft Teams,1,1
Q19967801,online service,Q28406404,Microsoft Teams,1,1
Q474157,collaborative software,Q28406404,Microsoft Teams,1,1
Q2462003,instant messaging client,Q28406404,Microsoft Teams,1,1
Q28135300,Workplace from Meta,Q28406404,Microsoft Teams,0,2
Q734413,LAN messenger,Q28406404,Microsoft Teams,0,2
Q15548100,free instant messaging client,Q28406404,Microsoft Teams,1,2
Q12313595,collaborative real-time editor,Q28406404,Microsoft Teams,1,2
Q7705753,test automation management tool,Q28406404,Microsoft Teams,0,2
Q620615,mobile app,Q17130715,Slack,1,1
Q43229,organization,Q17130715,Slack,1,1
Q2462003,instant messaging client,Q17130715,Slack,1,1
Q166142,application,Q17130715,Slack,1,1
Q1132944,Science shop,Q17130715,Slack,0,2
Q58542,multi protocol instant messaging clients,Q17130715,Slack,1,2
Q15548100,free instant messaging client,Q17130715,Slack,1,2
Q15505266,Login manager,Q17130715,Slack,0,2
Q10417670,IRC client,Q17130715,Slack,1,2
Q3023650,social rental office,Q17130715,Slack,0,2
Q2401485,expedition,Q17130715,Slack,0,2
Q5398426,television series,Q23572,Game of Thrones,1,1
Q6664710,Locals casino,Q133215,casino,1,1
Q7279719,racino,Q133215,casino,1,1
Q655686,commercial building,Q133215,casino,1,1
Q16852719,casino hotel,Q133215,casino,1,1
Q7338100,Riverboat casino,Q133215,casino,1,1
Q770881,online casino,Q133215,casino,1,1
Q32350958,bingo hall,Q133215,casino,1,1
Q2312410,sports discipline,Q105674,running,1,1
Q2093999,trail running,Q105674,running,1,1
Q349,sport,Q105674,running,1,1
Q3694563,snowshoe running,Q105674,running,1,1
Q2167372,mountain running,Q105674,running,1,1
Q792635,axe throwing,Q105674,running,0,2
Q12014207,trekking,Q105674,running,1,2
Q15621650,skiing,Q105674,running,0,2
Q17080486,Twirling,Q105674,running,0,2
Q902378,equestrian sport,Q105674,running,0,2
Q212434,Olympic sport,Q105674,running,1,2
Q11660,artificial intelligence,Q2539,machine learning,1,1
Q21198,computer science,Q2539,machine learning,1,1
Q11862829,academic discipline,Q2539,machine learning,1,1
Q192776,artificial neural network,Q2539,machine learning,1,1
Q6027324,transfer learning,Q2539,machine learning,1,1
Q1152135,unsupervised learning,Q2539,machine learning,1,1
Q17013334,feature learning,Q2539,machine learning,1,1
Q378859,pattern recognition,Q2539,machine learning,1,1
Q55693888,Bulgarian Philology,Q2539,machine learning,0,2
Q55693875,International Economic Relationships,Q2539,machine learning,0,2
Q19935939,branch of geography,Q2539,machine learning,0,2
Q54811238,graph convolutional network,Q2539,machine learning,1,2
Q55693892,Fishery and Aquaculture,Q2539,machine learning,0,2
Q5064071,cerebellar model articulation controller,Q2539,machine learning,0,2
Q4387017,mathematical sciences,Q2539,machine learning,1,2
Q55441204,3D-convolutional neural network,Q2539,machine learning,1,2
Q5441227,feedforward neural network,Q2539,machine learning,1,2
Q4740894,fish disease and parasites,Q2539,machine learning,0,2
Q20722857,Deep Q-Network,Q2539,machine learning,1,2
Q3478658,knowledge representation and reasoning,Q2539,machine learning,1,2
Q5514059,symbolic artificial intelligence,Q2539,machine learning,1,2
Q30642,natural language processing,Q2539,machine learning,1,2
Q1936384,area of mathematics,Q2539,machine learning,1,2
Q4875410,Bayesian confidence propagation neural network,Q2539,machine learning,1,2
Q7617824,stochastic neural network,Q2539,machine learning,1,2
Q40890078,Explainable AI,Q2539,machine learning,1,2
Q1948408,text segmentation,Q2539,machine learning,1,3
Q2991667,multilayer perceptron,Q2539,machine learning,1,3
Q690207,perceptron,Q2539,machine learning,1,3
Q210167,video game developer,Q188273,Ubisoft,1,1
Q1137109,video game publisher,Q188273,Ubisoft,1,1
Q891723,public company,Q188273,Ubisoft,1,1
Q43229,organization,Q188273,Ubisoft,1,1
Q11507286,Association japonaise de littérature pour enfants,Q188273,Ubisoft,0,2
Q7248095,professional services network,Q188273,Ubisoft,0,2
Q5419285,examination board,Q188273,Ubisoft,0,2
Q6515414,student welfare organisation,Q188273,Ubisoft,0,2
Q1032372,hackerspace,Q188273,Ubisoft,0,2
Q47533065,disability organization,Q188273,Ubisoft,0,2
Q4810155,Association with lucrative purpose,Q188273,Ubisoft,0,2
Q1193702,parliamentary opposition,Q188273,Ubisoft,0,2
Q3480110,Service d'inspection,Q188273,Ubisoft,0,2
Q681615,syndicate,Q188273,Ubisoft,0,2
Q55597159,Groupe de médecine de famille,Q188273,Ubisoft,0,2
Q18534571,medical research center,Q188273,Ubisoft,0,2
Q21428095,Union d’économie sociale,Q188273,Ubisoft,0,2
Q1502514,cooperative movement,Q188273,Ubisoft,0,2
Q16985923,Independent Monitoring Board,Q188273,Ubisoft,0,2
Q2801262,hacker group,Q188273,Ubisoft,0,2
Q33114024,exile organization,Q188273,Ubisoft,0,2
Q5774403,historical society,Q188273,Ubisoft,0,2
Q996839,fraternal organization,Q188273,Ubisoft,0,2
Q3184737,cathedral chapter,Q188273,Ubisoft,0,2
Q877724,Seniorat,Q188273,Ubisoft,0,2
Q2820266,abbaye (association),Q188273,Ubisoft,0,2
Q7157353,peace commission,Q188273,Ubisoft,0,2
Q5163232,Consistory,Q188273,Ubisoft,0,2
Q2069741,Matha,Q188273,Ubisoft,0,2
Q3029536,direction départementale des territoires,Q188273,Ubisoft,0,2
Q3023650,social rental office,Q188273,Ubisoft,0,2
Q255632,cathedral works,Q188273,Ubisoft,0,2
Q2955972,chancellerie des universités,Q188273,Ubisoft,0,2
Q3029462,specialized directorates of fiscal control,Q188273,Ubisoft,0,2
Q620615,mobile app,Q918,Twitter,1,1
Q92438,microblogging,Q918,Twitter,1,1
Q3220391,social networking service,Q918,Twitter,1,1
Q6839279,microblogging in China,Q918,Twitter,0,2
Q7858627,Twitter usage,Q918,Twitter,1,2
Q17710982,Twitterature,Q918,Twitter,1,3
Q7901759,use of Twitter by public figures,Q918,Twitter,1,3
Q17092661,Recurrence tracking microscope,Q196538,microscope,1,1
Q901823,ultramicroscope,Q196538,microscope,1,1
Q7187868,Photonic force microscope,Q196538,microscope,1,1
Q54167390,lucernal microscope,Q196538,microscope,1,1
Q1981926,Neutron microscope,Q196538,microscope,1,1
Q1751850,optical instrument,Q196538,microscope,1,1
Q1463415,inverted microscope,Q196538,microscope,1,1
Q5396251,erygmascope,Q196538,microscope,0,2
Q15328,camera,Q196538,microscope,0,2
Q8320,optical printer,Q196538,microscope,0,2
Q845620,mobile browser,Q777,Google Chrome,1,1
Q6368,web browser,Q777,Google Chrome,1,1
Q18156733,surf,Q777,Google Chrome,1,2
Q900604,addres,Q777,Google Chrome,0,2
Q13733263,Internet Explorer 11,Q777,Google Chrome,1,2
Q266990,Netscape,Q777,Google Chrome,1,2
Q18348827,headless browser,Q777,Google Chrome,0,2
Q7708379,text-based web browser,Q777,Google Chrome,1,2
Q15477174,web browser based on Firefox,Q777,Google Chrome,1,2
Q28598684,branch of biology,Q1152227,pharmacogenomics,1,1
Q222046,genomics,Q1152227,pharmacogenomics,1,1
Q841450,toxicogenomics,Q1152227,pharmacogenomics,1,2
Q1068690,functional genomics,Q1152227,pharmacogenomics,1,2
Q7322390,ribonomics,Q1152227,pharmacogenomics,1,2
Q3381973,phylogenomics,Q1152227,pharmacogenomics,0,2
Q1147112,comparative genomics,Q1152227,pharmacogenomics,1,2
Q903778,metagenomics,Q1152227,pharmacogenomics,1,2
Q2091816,computational genomics,Q1152227,pharmacogenomics,1,2
Q7170583,personal genomics,Q1152227,pharmacogenomics,1,2
Q17002728,branch of botany,Q1152227,pharmacogenomics,0,2
Q25303637,neurogenomics,Q1152227,pharmacogenomics,1,3
Q1320047,book publisher,Q746413,Elsevier BV,1,1
Q2085381,publisher,Q746413,Elsevier BV,1,1
Q737498,academic journal,Q746413,Elsevier BV,1,1
Q1188693,mind sport,Q80131,poker,1,1
Q2072000,Three card poker,Q80131,poker,1,1
Q1073718,Chinese poker,Q80131,poker,1,1
Q142714,card game,Q80131,poker,1,1
Q497397,video poker,Q80131,poker,1,1
Q13586511,Dealer's choice,Q80131,poker,1,1
Q1050367,online poker,Q80131,poker,1,1
Q953223,stud poker,Q80131,poker,1,1
Q718,chess,Q80131,poker,0,2
Q15978715,smartglasses,Q37501,eyeglasses,1,1
Q2332595,cataract glasses,Q37501,eyeglasses,1,1
Q1065579,costume accessory,Q37501,eyeglasses,1,1
Q5096292,Chicken eyeglasses,Q37501,eyeglasses,0,1
Q2143661,corrective lens,Q37501,eyeglasses,1,1
Q244570,pince-nez,Q37501,eyeglasses,1,2
Q12721,monocle,Q37501,eyeglasses,1,2
Q23797,contact lens,Q37501,eyeglasses,0,2
Q575092,Google Glass,Q37501,eyeglasses,1,2
Q740752,transport company,Q643290,RATP,1,1
Q1936384,area of mathematics,Q121416,discrete mathematics,1,1
Q92552,Galois theory,Q121416,discrete mathematics,1,2
Q21028313,global analysis,Q121416,discrete mathematics,1,2
Q1317202,Hodge theory,Q121416,discrete mathematics,1,2
Q3968,algebra,Q121416,discrete mathematics,1,2
Q3532114,combinatorial topology,Q121416,discrete mathematics,1,2
Q212803,algebraic topology,Q121416,discrete mathematics,1,2
Q76592,combinatorics,Q121416,discrete mathematics,1,2
Q61793851,noncommutative algebra,Q121416,discrete mathematics,1,2
Q177409,projective geometry,Q121416,discrete mathematics,1,2
Q56313053,Additive combinatorics,Q121416,discrete mathematics,1,2
Q621550,general topology,Q121416,discrete mathematics,1,2
Q190549,functional analysis,Q121416,discrete mathematics,1,2
Q2746792,noncommutative geometry,Q121416,discrete mathematics,1,2
Q7825032,topological dynamics,Q121416,discrete mathematics,1,2
Q1208658,ring theory,Q121416,discrete mathematics,1,2
Q14406742,comic book series,Q42490,Asterix,1,1
Q1293664,open content,Q52,Wikipedia,1,1
Q15633582,MediaWiki website,Q52,Wikipedia,1,1
Q14827288,Wikimedia project,Q52,Wikipedia,1,1
Q615699,Internet encyclopedia,Q52,Wikipedia,1,1
Q33120876,Wikimedia content project,Q52,Wikipedia,1,2
Q33120867,Wikimedia wiki,Q52,Wikipedia,1,2
Q11853682,open encyclopedia,Q52,Wikipedia,1,2
Q263,Wikisource,Q52,Wikipedia,1,2
Q18030772,prise électrique,Q12725,electricity,0,1
Q1522115,energy source,Q12725,electricity,1,1
Q1293220,physical phenomenon,Q12725,electricity,1,1
Q55605484,bioelectricity,Q12725,electricity,1,1
Q11379,energy,Q12725,electricity,1,1
Q20058155,solar island,Q12725,electricity,0,2
Q351281,sound energy,Q12725,electricity,0,2
Q42213,work,Q12725,electricity,0,2
Q40189366,interstellar radiation field,Q12725,electricity,0,2
Q360356,Hamiltonian function,Q12725,electricity,0,2
Q396045,agricultural energy,Q12725,electricity,0,2
Q11271324,energy transformation,Q12725,electricity,1,2
Q218616,proprietary software,Q22907849,Discord,1,1
Q15614021,VoIP software,Q22907849,Discord,1,1
Q35127,website,Q22907849,Discord,1,1
Q620615,mobile app,Q22907849,Discord,1,1
Q40056,computer program,Q22907849,Discord,1,1
Q3220391,social networking service,Q22907849,Discord,1,1
Q287198,online chat,Q22907849,Discord,1,1
Q1668024,service on internet,Q22907849,Discord,1,1
Q28051323,video-conferencing software,Q22907849,Discord,1,1
Q2462003,instant messaging client,Q22907849,Discord,1,1
Q17589204,FootballDatabase.eu,Q22907849,Discord,0,2
Q466,World Wide Web,Q22907849,Discord,0,2
Q15548100,free instant messaging client,Q22907849,Discord,1,2
Q60678830,Smartphone apps for travellers,Q22907849,Discord,0,2
Q1149226,web chat,Q22907849,Discord,1,2
Q574577,chat room,Q22907849,Discord,1,2
Q81945,Voice over IP,Q22907849,Discord,1,2
Q3391957,online community platform,Q22907849,Discord,1,2
Q354869,image sharing,Q22907849,Discord,1,2
Q16825545,adult dating site,Q22907849,Discord,0,2
Q1954906,music disk,Q22907849,Discord,0,2
Q484170,commune of France,Q40898,Nancy,1,1
Q1549591,big city,Q40898,Nancy,1,1
Q13582798,Public Scientific and Technical Research Establishment,Q280413,National Center for Scientific Research,1,1
Q31855,research institute,Q280413,National Center for Scientific Research,1,1
Q45400320,open-access publisher,Q280413,National Center for Scientific Research,1,1
Q3726309,state research institution,Q280413,National Center for Scientific Research,1,1
Q20820271,graduate school,Q280413,National Center for Scientific Research,0,2
Q120560,minor basilica,Q28785,Sacré-Cœur,1,1
Q570116,tourist attraction,Q28785,Sacré-Cœur,1,1
Q1530022,religious organization,Q28785,Sacré-Cœur,1,1
Q16970,church building,Q28785,Sacré-Cœur,1,1
Q210167,video game developer,Q1060165,Riot Games,1,1
Q6881511,enterprise,Q1273376,E.Leclerc,1,1
Q844526,Group purchasing organization,Q1273376,E.Leclerc,1,1
Q4830453,business,Q1273376,E.Leclerc,1,1
Q43229,organization,Q1273376,E.Leclerc,1,1
Q12309784,Elklub,Q1273376,E.Leclerc,0,2
Q2111762,machine shop,Q1273376,E.Leclerc,0,2
Q388570,film laboratory,Q1273376,E.Leclerc,0,2
Q814610,emergency service,Q1273376,E.Leclerc,0,2
Q3591573,établissement public foncier,Q1273376,E.Leclerc,0,2
Q1936090,Parlements,Q1273376,E.Leclerc,0,2
Q8772125,Editorial Anagrama,Q1273376,E.Leclerc,0,2
Q562166,housing cooperative,Q1273376,E.Leclerc,0,2
Q786820,automobile manufacturer,Q1273376,E.Leclerc,0,2
Q6819536,merit shop,Q1273376,E.Leclerc,0,2
Q1662611,IT system,Q68,computer,1,1
Q241317,computing platform,Q68,computer,1,1
Q11019,machine,Q68,computer,1,1
Q2835765,optimization algorithm,Q1199743,gradient descent,1,1
Q29410287,Adam optimizer,Q1199743,gradient descent,1,1
Q7617819,stochastic gradient descent,Q1199743,gradient descent,1,1
Q2321565,iterative numerical method,Q1199743,gradient descent,1,1
Q56506809,implicit method,Q1199743,gradient descent,0,2
Q1476018,Quasi-Newton method,Q1199743,gradient descent,0,2
Q4380101,projection methods for solving system of linear equations,Q1199743,gradient descent,0,2
Q1790321,Krylov subspace methods,Q1199743,gradient descent,0,2
Q14489129,evolutionary algorithm,Q1199743,gradient descent,0,2
Q484170,commune of France,Q6588,Périgueux,1,1
Q6881511,enterprise,Q364,GitHub,1,1
Q3077240,forge,Q364,GitHub,1,1
Q1668024,service on internet,Q364,GitHub,1,1
Q5227240,data library,Q364,GitHub,1,1
Q2910253,Torah database,Q364,GitHub,1,2
Q477248,pastry,Q2746070,Canelé,1,1
Q5183361,Cream horn,Q2746070,Canelé,1,2
Q856330,cracker,Q2746070,Canelé,0,2
Q3535552,Tourteau fromagé,Q2746070,Canelé,0,2
Q273426,éclair,Q2746070,Canelé,1,2
Q3778467,gubana,Q2746070,Canelé,1,2
Q1014883,Burger Brezel,Q2746070,Canelé,0,2
Q870362,rice bread,Q2746070,Canelé,0,2
Q1660010,Christmas cookies,Q2746070,Canelé,1,2
Q251981,crisp bread,Q2746070,Canelé,0,2
Q871619,bear claw,Q2746070,Canelé,1,2
Q28416788,Lotus seed paste cake,Q2746070,Canelé,1,2
Q1073041,coconut bar,Q2746070,Canelé,1,2
Q13266,cookie,Q2746070,Canelé,1,2
Q208729,nougat,Q2746070,Canelé,0,2
Q12192991,meskouta,Q2746070,Canelé,1,2
Q20983788,free operating system,Q381,Ubuntu,1,1
Q72688,Xubuntu,Q381,Ubuntu,1,1
Q5276054,digital commons,Q381,Ubuntu,1,1
Q12226408,Ubuntu Kylin,Q381,Ubuntu,1,1
Q620615,mobile app,Q381,Ubuntu,0,1
Q18915790,Ubuntu MATE,Q381,Ubuntu,1,1
Q131669,Linux distribution,Q381,Ubuntu,1,1
Q9135,operating system,Q381,Ubuntu,1,1
Q11250,Kubuntu,Q381,Ubuntu,1,1
Q27964209,Ubuntu Budgie,Q381,Ubuntu,1,1
Q5741069,rock group,Q207472,Toto,1,1
Q1188693,mind sport,Q718,chess,1,1
Q2755547,individual sport,Q718,chess,1,1
Q7858742,two-player game,Q718,chess,1,1
Q573573,abstract strategy game,Q718,chess,1,1
Q41595400,mind game,Q718,chess,1,1
Q131436,board game,Q718,chess,1,1
Q299191,chess variant,Q718,chess,1,1
Q287618,sequential game,Q718,chess,1,1
Q5093314,Chess aesthetics,Q718,chess,1,1
Q31629,type of sport,Q718,chess,1,1
Q4438147,game-based sport,Q718,chess,1,1
Q229398,three-dimensional chess,Q718,chess,1,2
Q816261,jogging,Q718,chess,0,2
Q80131,poker,Q718,chess,0,2
Q933844,three-player chess,Q718,chess,1,2
Q3550864,mixed research unit,Q3214499,LORIA,1,1
Q1784017,secondary sex characteristic,Q1847641,human facial hair,1,1
Q18534278,facial feature,Q1847641,human facial hair,1,1
Q15179,moustache,Q1847641,human facial hair,1,1
Q43748,eyebrow,Q1847641,human facial hair,0,1
Q1068553,facial skeleton,Q1847641,human facial hair,0,2
Q3326291,handlebar moustache,Q1847641,human facial hair,1,2
Q5431487,fake moustache,Q1847641,human facial hair,1,2
Q5428568,facial resemblance,Q1847641,human facial hair,0,2
Q7963760,walrus moustache,Q1847641,human facial hair,1,2
Q1790542,pattes d'oie,Q1847641,human facial hair,0,2
Q17141430,pencil moustache,Q1847641,human facial hair,1,2
Q17013040,Facial symmetry,Q1847641,human facial hair,0,2
Q5506845,Fu Manchu moustache,Q1847641,human facial hair,1,2
Q5906082,horseshoe moustache,Q1847641,human facial hair,1,2
Q61788060,human activity,Q12014035,hiking,1,1
Q6537379,walking,Q12014035,hiking,1,1
Q349,sport,Q12014035,hiking,1,1
Q184872,recreation,Q12014035,hiking,1,1
Q2357239,sports tourism,Q12014035,hiking,1,1
Q968907,outdoor recreation,Q12014035,hiking,1,1
Q1914636,activity,Q12014035,hiking,1,1
Q747883,physical activity,Q12014035,hiking,1,2
Q2312410,sports discipline,Q11020,pool,1,1
Q5179579,Cowboy pool,Q11020,pool,1,1
Q3341285,cue sports,Q11020,pool,1,1
Q2060479,eight-ball,Q11020,pool,1,1
Q4208733,Kaisa,Q11020,pool,1,2
Q677423,drifting,Q11020,pool,0,2
Q3062992,F3f,Q11020,pool,0,2
Q1324916,English billiards,Q11020,pool,1,2
Q11015,snooker,Q11020,pool,1,2
Q2072840,CrossFit,Q11020,pool,0,2
Q5580558,golf billiards,Q11020,pool,1,2
Q40679812,running target shooting,Q11020,pool,0,2
Q967318,Blackball,Q11020,pool,1,2
Q917562,carom billiards,Q11020,pool,1,2
Q27907702,boys' singles,Q11020,pool,0,2
Q5728609,spanish pool,Q11020,pool,1,2
Q27907674,girls' singles,Q11020,pool,0,2
Q5100758,Chinese eight-ball,Q11020,pool,1,2
Q50386068,youth mixed doubles,Q11020,pool,0,2
Q10526896,Hugg,Q11020,pool,0,2
Q27907692,girls' doubles,Q11020,pool,0,2
Q455347,variation of basketball,Q11020,pool,0,2
Q52177345,field sport,Q11020,pool,0,2
Q27907716,boys' doubles,Q11020,pool,0,2
Q512270,Five-pin billiards,Q11020,pool,1,3
Q2165733,Snooker plus,Q11020,pool,1,3
Q3391957,online community platform,Q2905238,BlaBlaCar,1,1
Q783794,company,Q2905238,BlaBlaCar,1,1
Q16858238,train category,Q129337,TGV,1,1
Q13402959,high-speed train,Q129337,TGV,1,1
Q483373,electric multiple unit,Q129337,TGV,1,1
Q811704,rolling stock class,Q129337,TGV,1,1
Q30754613,TGV inOui,Q129337,TGV,1,1
Q167270,trademark,Q129337,TGV,1,1
Q432478,Automotrice à grande vitesse,Q129337,TGV,1,2
Q2205965,list of Belgian railway services,Q129337,TGV,0,2
Q1049958,SNCF TGV POS,Q129337,TGV,1,2
Q928468,TGV Réseau,Q129337,TGV,1,2
Q6881511,enterprise,Q1431486,Orange,1,1
Q1266169,telephone company,Q1431486,Orange,1,1
Q1941618,mobile network operator,Q1431486,Orange,1,1
Q431289,brand,Q1431486,Orange,1,1
Q11371,Internet service provider,Q1431486,Orange,1,1
Q891723,public company,Q1431486,Orange,1,1
Q4830453,business,Q1431486,Orange,1,1
Q6887204,mobile phone operator,Q1431486,Orange,1,2
Q2585571,wireless Internet service provider,Q1431486,Orange,1,2
Q7058673,video game series,Q16820462,Borderlands,1,1
Q35127,website,Q1224715,dblp computer science bibliography,1,1
Q1789476,bibliographic database,Q1224715,dblp computer science bibliography,1,1
Q193424,web service,Q1224715,dblp computer science bibliography,1,1
Q43229,organization,Q1224715,dblp computer science bibliography,1,1
Q27881073,fake news website,Q1224715,dblp computer science bibliography,0,2
Q25380332,Kiev Archaeographic Commission,Q1224715,dblp computer science bibliography,0,2
Q1436061,Coopérative d'utilisation de matériel agricole,Q1224715,dblp computer science bibliography,0,2
Q1149226,web chat,Q1224715,dblp computer science bibliography,0,2
Q19967801,online service,Q1224715,dblp computer science bibliography,1,2
Q1482252,Semantic Web Service,Q1224715,dblp computer science bibliography,0,2
Q20653619,Zone to Defend,Q1224715,dblp computer science bibliography,0,2
Q16519632,scientific organization,Q1224715,dblp computer science bibliography,1,2
Q484170,commune of France,Q33959,Nice,1,1
Q1549591,big city,Q33959,Nice,1,1
Q10429667,car brand,Q35996,Mazda,1,1
Q891723,public company,Q35996,Mazda,1,1
Q786820,automobile manufacturer,Q35996,Mazda,1,1
Q431289,brand,Q35996,Mazda,1,1
Q755673,search algorithm,Q325904,breadth-first search,1,1
Q907955,graph traversal,Q325904,breadth-first search,1,1
Q4443425,uninformed search algorithm,Q325904,breadth-first search,1,1
Q1969601,pathfinding,Q325904,breadth-first search,1,2
Q7009111,heuristic search algorithm,Q325904,breadth-first search,1,2
Q1210082,tree traversal,Q325904,breadth-first search,1,2
Q55789206,syndromic myopia,Q168403,myopia,1,1
Q470427,refractive error,Q168403,myopia,1,1
Q18554189,degenerative myopia,Q168403,myopia,1,1
Q737460,visual impairment,Q168403,myopia,1,1
Q2470609,Wagner's disease,Q168403,myopia,1,2
Q177895,astigmatism,Q168403,myopia,1,2
Q2634782,low vision,Q168403,myopia,1,2
Q18554630,irregular astigmatism,Q168403,myopia,1,3
Q13741,integrated development environment,Q1484375,PyCharm,1,1
Q467707,software development kit,Q1484375,PyCharm,1,1
Q341,free software,Q1484375,PyCharm,1,1
Q10334075,Mxmlc,Q1484375,PyCharm,0,2
Q2424752,product,Q614362,Orange Livebox,1,1
Q1155692,DSL modem,Q614362,Orange Livebox,1,1
Q3407440,wireless router,Q614362,Orange Livebox,1,1
Q11228705,L-03E,Q614362,Orange Livebox,1,2
Q2877513,BT Home Hub,Q614362,Orange Livebox,1,2
Q11191179,BF-01D,Q614362,Orange Livebox,1,2
Q13582798,Public Scientific and Technical Research Establishment,Q1474517,French National Institute of Health and Medical Research,1,1
Q31855,research institute,Q1474517,French National Institute of Health and Medical Research,1,1
Q1343205,file hosting service,Q9340,Google Drive,1,1
Q166142,application,Q9340,Google Drive,1,1
Q1668024,service on internet,Q9340,Google Drive,1,1
Q914359,cloud storage,Q9340,Google Drive,1,1
Q35127,website,Q9340,Google Drive,1,1
Q3751111,medical software,Q9340,Google Drive,0,2
Q25325314,Elastic cloud storage,Q9340,Google Drive,1,2
Q847906,online magazine,Q9340,Google Drive,0,2
Q17074646,personal cloud,Q9340,Google Drive,1,2
Q16972647,Google Chrome App,Q9340,Google Drive,1,2
Q16988367,CloudLocker,Q9340,Google Drive,1,3
Q3575260,bijou,Q201664,bracelet,1,1
Q7120070,POW bracelet,Q201664,bracelet,1,1
Q16839772,Gel bracelet,Q201664,bracelet,1,1
Q488720,charm bracelet,Q201664,bracelet,1,1
Q1455890,friendship bracelet,Q201664,bracelet,1,1
Q4470686,decoration,Q201664,bracelet,1,1
Q7538697,Slap bracelet,Q201664,bracelet,1,1
Q46847,ring,Q201664,bracelet,1,2
Q11796413,decoration,Q201664,bracelet,1,2
Q161439,jewelry,Q201664,bracelet,1,2
Q2111434,pendant,Q201664,bracelet,1,2
Q1130645,open-source software,Q7935239,Virtuoso Universal Server,1,1
